run_name,model_name,lr,seed,epoch,learning_rate,train_loss,train_top1_accuracy,train_macro_accuracy,train_top5_accuracy,val_loss,val_top1_accuracy,val_macro_accuracy,val_top5_accuracy
mot_patch_tiny_1d-p3-bs.512-ep.100,mot_patch_tiny_1d,0.1,42,1,0.1,1.4416058989550558,0.7195926563396443,0.7125077843666077,0.8681392235609103,1.4979958995578393,0.6998087954110899,0.6936458349227905,0.8531548757170172
mot_patch_tiny_1d-p3-bs.512-ep.100,mot_patch_tiny_1d,0.1,42,2,0.09990133642141358,1.1066795578192608,0.7916905718110537,0.7861635684967041,0.9019410977242303,1.1779333373556629,0.7682600382409178,0.76166170835495,0.8940726577437859
mot_patch_tiny_1d-p3-bs.512-ep.100,mot_patch_tiny_1d,0.1,42,3,0.0996057350657239,0.9625416039098265,0.8124402371390324,0.8083627820014954,0.913798049340218,1.0683215898036045,0.7804971319311663,0.7779807448387146,0.8994263862332696
mot_patch_tiny_1d-p3-bs.512-ep.100,mot_patch_tiny_1d,0.1,42,4,0.09911436253643444,0.8738992296730635,0.830560336584433,0.8273158073425293,0.9231688659399503,0.9829973953859756,0.7992351816443595,0.7953365445137024,0.9093690248565965
mot_patch_tiny_1d-p3-bs.512-ep.100,mot_patch_tiny_1d,0.1,42,5,0.09842915805643154,0.8087394323693701,0.8437559762860968,0.8417652249336243,0.927376171352075,0.925606075892257,0.805736137667304,0.8037586808204651,0.9151051625239006
mot_patch_tiny_1d-p3-bs.512-ep.100,mot_patch_tiny_1d,0.1,42,6,0.09755282581475767,0.7710294046874346,0.8487282463186078,0.8471028208732605,0.9285714285714286,0.8983321844505763,0.8133843212237094,0.8120171427726746,0.9162523900573614
mot_patch_tiny_1d-p3-bs.512-ep.100,mot_patch_tiny_1d,0.1,42,7,0.09648882429441256,0.7293276132965526,0.8565691336775674,0.8544025421142578,0.9334958883151654,0.8633750485188646,0.822944550669216,0.8184781074523926,0.9151051625239006
mot_patch_tiny_1d-p3-bs.512-ep.100,mot_patch_tiny_1d,0.1,42,8,0.09524135262330098,0.7032880848738494,0.8585771658060815,0.8567153215408325,0.9354561101549054,0.8501781923137249,0.8225621414913958,0.821531355381012,0.9177820267686424
mot_patch_tiny_1d-p3-bs.512-ep.100,mot_patch_tiny_1d,0.1,42,9,0.09381533400219318,0.676072453148485,0.8666571046089119,0.864683985710144,0.9388506406578696,0.8234524232707562,0.8263862332695985,0.8236313462257385,0.9235181644359465
mot_patch_tiny_1d-p3-bs.512-ep.100,mot_patch_tiny_1d,0.1,42,10,0.09221639627510075,0.6504987861485936,0.8719640466628419,0.868608832359314,0.9406196213425129,0.8081191870724038,0.8302103250478011,0.8280345797538757,0.9231357552581262
