run_name,model_name,lr,num_seeds,best_epoch_mean,best_epoch_std,val_loss_mean,val_loss_std,val_top1_accuracy_mean,val_top1_accuracy_std,val_macro_accuracy_mean,val_macro_accuracy_std,val_top5_accuracy_mean,val_top5_accuracy_std,test_loss_mean,test_loss_std,test_top1_accuracy_mean,test_top1_accuracy_std,test_macro_accuracy_mean,test_macro_accuracy_std,test_top5_accuracy_mean,test_top5_accuracy_std
mot_base-large_1d-bs.512-ep.300,mot_base_1d,0.001,3,43.0,3.605551275463989,2.6725216672859653,0.003956529692578838,0.48349267049075845,0.003469893585421595,0.46233386794726056,0.002035525577203398,0.7259400892288081,0.0028955555619122005,2.7156561180451364,0.0037633726700858194,0.45575108390716657,0.0021069512422670546,0.4291096031665802,0.002948786338403956,0.7042846212700842,0.003036439913234047
mot_base-large_1d-bs.512-ep.300,mot_base_1d,0.003,3,42.0,1.0,1.9305009344719717,0.00339897516461682,0.6095602294455067,0.0037662936144535935,0.5925459067026774,0.0038111466494451345,0.8089228808158063,0.00022078404175512588,1.9829346759682314,0.0037741000298143305,0.5879877582249426,0.001753089401283813,0.5684343576431274,0.0014273882238783138,0.7980107115531753,0.0028882304649084822
mot_base-large_1d-bs.512-ep.300,mot_base_1d,0.01,3,39.666666666666664,3.0550504633038935,1.4066235976890822,0.0035959016464213803,0.7032504780114723,0.0010117595835810922,0.6897508303324381,0.0011306631168380742,0.8651370299553856,0.0021744706321519245,1.4567917612431396,0.004716517908413758,0.673935220606988,0.002547179846396051,0.65877632300059,0.0029680838371668157,0.8522060698801326,0.0007963527159395933
mot_base-large_1d-bs.512-ep.300,mot_base_1d,0.03,3,35.0,4.0,1.1403494431913241,0.007185949277469776,0.7511790949649458,0.001229273519565725,0.7431285182634989,0.001664927869837964,0.88578712555768,0.0007960481833522266,1.179949275208687,0.007092565457236569,0.7274929864830401,0.0026040012569066916,0.7138377825419108,0.0019600374035567926,0.8787299158377965,0.0017530894012837647
mot_base-large_1d-bs.512-ep.300,mot_base_1d,0.1,3,41.0,3.605551275463989,1.0150432321659086,0.0035571645166284555,0.7673677501593371,0.00044156808351025176,0.7613444328308105,0.0007588126307693254,0.8954748247291269,0.001886379679662074,1.0425324219886334,0.0028834576713410677,0.752614129048712,0.002714077614612709,0.7396194934844971,0.002248575664478455,0.8939046161693446,0.0009627434883028593
mot_base-large_1d-bs.512-ep.300,mot_base_1d,0.3,3,46.666666666666664,0.5773502691896257,1.0742332023294812,0.001285556190607725,0.7680050987890376,0.0005841396679357031,0.7637550234794617,0.0005403701112965496,0.8931803696622053,0.0005841396679357031,1.1057608423717045,9.514307382013049e-05,0.7512114256567202,0.001343490659634348,0.7378833492596945,0.0019341240988320126,0.8956898750318797,0.0009627434883028079
mot_base-large_1d-bs.512-ep.300,mot_base_1d,1.0,3,43.666666666666664,5.686240703077327,1.8968845724831576,0.029001736244611435,0.7511790949649458,0.0017243784905632224,0.7473282416661581,0.0016576223916626195,0.8845124282982791,0.0017524190038071819,1.9414703025710853,0.01775325378273639,0.7259627646008672,0.0017250381609881238,0.7125685016314188,0.001745273950108721,0.8900790614639122,0.0015460795272866528
mot_base-small_1d-bs.512-ep.300,mot_base_1d,0.001,3,43.333333333333336,2.309401076758503,2.17549425736592,0.008116913951119893,0.587125557680051,0.0017243784905632224,0.5688801805178324,0.001384710339065611,0.78572339069471,0.0014477777809561003,2.1882328927532138,0.002980226346537143,0.5721754654424892,0.0038509739532112826,0.5493117769559225,0.004924041830934066,0.7800306044376435,0.002129978715696282
mot_base-small_1d-bs.512-ep.300,mot_base_1d,0.003,3,43.333333333333336,1.1547005383792515,1.5423737919201435,0.0014885581577563029,0.7003186743148503,0.002305053068199509,0.6903279423713684,0.00347888895341125,0.8523900573613766,0.0010117595835810922,1.5510714228619606,0.004107477689025051,0.6920428462127008,0.004208110175975555,0.6741625666618347,0.0037419859805262333,0.8510584034685029,0.0012297437848753875
mot_base-small_1d-bs.512-ep.300,mot_base_1d,0.01,3,38.333333333333336,1.5275252316519468,1.1262280679949535,0.001884773136620748,0.777055449330784,0.0017524190038072302,0.7700702548027039,0.0025224114045192805,0.8880815806246016,0.0013429768964758194,1.1157834900182535,0.0030790917232896863,0.7736546799285896,0.0013434906596344006,0.7605345050493876,0.0017742236251525776,0.8942871716398878,0.001725038160988128
