run_name,model_name,checkpoint,checkpoint_sha256,lr,seed,best_epoch,val_loss,val_top1_accuracy,val_macro_accuracy,val_top5_accuracy,test_loss,test_top1_accuracy,test_macro_accuracy,test_top5_accuracy
mot_base-large_1d-bs.512-ep.300,mot_base_1d,/data/seokhyeon/MotionJEPA/output/mot_base-large_1d-bs.512-ep.300/motion-jepa-1d-latest.pth.tar,30bb77c1974cdb4f5ea5656afcc7cc24485dcb1e9bb2b9f256163f810e705a0a,0.1,0,45,1.0111144581898677,0.767112810707457,0.7606691718101501,0.8933078393881453,1.0402381301564667,0.7521040550879877,0.7386496067047119,0.8940321346595256
mot_base-large_1d-bs.512-ep.300,mot_base_1d,/data/seokhyeon/MotionJEPA/output/mot_base-large_1d-bs.512-ep.300/motion-jepa-1d-latest.pth.tar,30bb77c1974cdb4f5ea5656afcc7cc24485dcb1e9bb2b9f256163f810e705a0a,0.1,1,40,1.0159698471740373,0.7678776290630975,0.7621656060218811,0.8967495219885278,1.045769184348961,0.7555470543228768,0.7421902418136597,0.8947972456006121
mot_base-large_1d-bs.512-ep.300,mot_base_1d,/data/seokhyeon/MotionJEPA/output/mot_base-large_1d-bs.512-ep.300/motion-jepa-1d-latest.pth.tar,30bb77c1974cdb4f5ea5656afcc7cc24485dcb1e9bb2b9f256163f810e705a0a,0.1,2,38,1.0180453911338208,0.767112810707457,0.7611985206604004,0.8963671128107075,1.0415899514604727,0.7501912777352716,0.7380186319351196,0.8928844682478959
mot_base-large_1d-bs.512-ep.300,mot_base_1d,/data/seokhyeon/MotionJEPA/output/mot_base-large_1d-bs.512-ep.300/motion-jepa-1d-latest.pth.tar,30bb77c1974cdb4f5ea5656afcc7cc24485dcb1e9bb2b9f256163f810e705a0a,0.3,0,47,1.0730783422408094,0.7678776290630975,0.7636440992355347,0.8933078393881453,1.1056536475300516,0.7498087222647284,0.7356730699539185,0.8955623565416986
mot_base-large_1d-bs.512-ep.300,mot_base_1d,/data/seokhyeon/MotionJEPA/output/mot_base-large_1d-bs.512-ep.300/motion-jepa-1d-latest.pth.tar,30bb77c1974cdb4f5ea5656afcc7cc24485dcb1e9bb2b9f256163f810e705a0a,0.3,1,47,1.0740029329551566,0.7674952198852772,0.7632787227630615,0.8925430210325048,1.1058352761534944,0.7513389441469013,0.7387112975120544,0.8947972456006121
mot_base-large_1d-bs.512-ep.300,mot_base_1d,/data/seokhyeon/MotionJEPA/output/mot_base-large_1d-bs.512-ep.300/motion-jepa-1d-latest.pth.tar,30bb77c1974cdb4f5ea5656afcc7cc24485dcb1e9bb2b9f256163f810e705a0a,0.3,2,46,1.0756183317924777,0.768642447418738,0.7643422484397888,0.8936902485659656,1.1057936034315674,0.7524866105585309,0.7392656803131104,0.8967100229533282
mot_base-large_1d-bs.512-ep.300,mot_base_1d,/data/seokhyeon/MotionJEPA/output/mot_base-large_1d-bs.512-ep.300/motion-jepa-1d-latest.pth.tar,30bb77c1974cdb4f5ea5656afcc7cc24485dcb1e9bb2b9f256163f810e705a0a,1.0,0,50,1.8673601562616702,0.7510516252390057,0.7475954294204712,0.8864244741873805,1.9229390349384474,0.7260902830910482,0.7139007449150085,0.8917368018362662
mot_base-large_1d-bs.512-ep.300,mot_base_1d,/data/seokhyeon/MotionJEPA/output/mot_base-large_1d-bs.512-ep.300/motion-jepa-1d-latest.pth.tar,30bb77c1974cdb4f5ea5656afcc7cc24485dcb1e9bb2b9f256163f810e705a0a,1.0,1,42,1.8979598400925588,0.752963671128107,0.7488360404968262,0.8841300191204589,1.9431450135304715,0.7276205049732212,0.7132118940353394,0.8898240244835501
mot_base-large_1d-bs.512-ep.300,mot_base_1d,/data/seokhyeon/MotionJEPA/output/mot_base-large_1d-bs.512-ep.300/motion-jepa-1d-latest.pth.tar,30bb77c1974cdb4f5ea5656afcc7cc24485dcb1e9bb2b9f256163f810e705a0a,1.0,2,39,1.9253337210952437,0.7495219885277247,0.7455532550811768,0.8829827915869981,1.958326859244337,0.7241775057383321,0.7105928659439087,0.8886763580719205
mot_base-small_1d-bs.512-ep.300,mot_base_1d,/data/seokhyeon/MotionJEPA/output/mot_base-small_1d-bs.512-ep.300/motion-jepa-1d-latest.pth.tar,8b42dde186c095b881cfc807e803435d2e72082e71838930e0ebe872a9713244,0.001,0,42,2.182554836528479,0.5854684512428299,0.5677500367164612,0.7850860420650095,2.1875704274254164,0.5757459831675593,0.5533998608589172,0.777735271614384
mot_base-small_1d-bs.512-ep.300,mot_base_1d,/data/seokhyeon/MotionJEPA/output/mot_base-small_1d-bs.512-ep.300/motion-jepa-1d-latest.pth.tar,8b42dde186c095b881cfc807e803435d2e72082e71838930e0ebe872a9713244,0.001,1,46,2.1666258540253795,0.5869980879541109,0.5684657096862793,0.7873804971319311,2.185639641899687,0.5680948737566948,0.5438454747200012,0.7819433817903596
mot_base-small_1d-bs.512-ep.300,mot_base_1d,/data/seokhyeon/MotionJEPA/output/mot_base-small_1d-bs.512-ep.300/motion-jepa-1d-latest.pth.tar,8b42dde186c095b881cfc807e803435d2e72082e71838930e0ebe872a9713244,0.001,2,42,2.1773020815439024,0.5889101338432122,0.5704247951507568,0.7847036328871893,2.191488608934538,0.5726855394032134,0.5506899952888489,0.7804131599081867
mot_base-small_1d-bs.512-ep.300,mot_base_1d,/data/seokhyeon/MotionJEPA/output/mot_base-small_1d-bs.512-ep.300/motion-jepa-1d-latest.pth.tar,8b42dde186c095b881cfc807e803435d2e72082e71838930e0ebe872a9713244,0.003,0,44,1.5430192294585774,0.7024856596558318,0.6933164000511169,0.8531548757170172,1.5475193452725633,0.6962509563886764,0.6781001091003418,0.8496557000765111
mot_base-small_1d-bs.512-ep.300,mot_base_1d,/data/seokhyeon/MotionJEPA/output/mot_base-small_1d-bs.512-ep.300/motion-jepa-1d-latest.pth.tar,8b42dde186c095b881cfc807e803435d2e72082e71838930e0ebe872a9713244,0.003,1,42,1.5406714488625755,0.6978967495219885,0.6865089535713196,0.8527724665391969,1.555569305069682,0.6878347360367253,0.6706529259681702,0.8519510328997705
mot_base-small_1d-bs.512-ep.300,mot_base_1d,/data/seokhyeon/MotionJEPA/output/mot_base-small_1d-bs.512-ep.300/motion-jepa-1d-latest.pth.tar,8b42dde186c095b881cfc807e803435d2e72082e71838930e0ebe872a9713244,0.003,2,44,1.5434306974392775,0.7005736137667304,0.6911584734916687,0.8512428298279159,1.550125618243637,0.6920428462127008,0.6737346649169922,0.8515684774292273
mot_base-small_1d-bs.512-ep.300,mot_base_1d,/data/seokhyeon/MotionJEPA/output/mot_base-small_1d-bs.512-ep.300/motion-jepa-1d-latest.pth.tar,8b42dde186c095b881cfc807e803435d2e72082e71838930e0ebe872a9713244,0.01,0,37,1.1283667453160477,0.7766730401529637,0.7700662016868591,0.8868068833652007,1.1155920152729855,0.7735271614384086,0.7608175873756409,0.8944146901300689
mot_base-small_1d-bs.512-ep.300,mot_base_1d,/data/seokhyeon/MotionJEPA/output/mot_base-small_1d-bs.512-ep.300/motion-jepa-1d-latest.pth.tar,8b42dde186c095b881cfc807e803435d2e72082e71838930e0ebe872a9713244,0.01,1,38,1.1248095671031944,0.7789674952198853,0.772594690322876,0.8879541108986616,1.1189538507673151,0.7723794950267788,0.7586357593536377,0.8925019127773527
mot_base-small_1d-bs.512-ep.300,mot_base_1d,/data/seokhyeon/MotionJEPA/output/mot_base-small_1d-bs.512-ep.300/motion-jepa-1d-latest.pth.tar,8b42dde186c095b881cfc807e803435d2e72082e71838930e0ebe872a9713244,0.01,2,40,1.1255078915656183,0.7755258126195028,0.7675498723983765,0.8894837476099426,1.1128046040144601,0.7750573833205815,0.7621501684188843,0.8959449120122418
mot_base-small_1d-bs.512-ep.300,mot_base_1d,/data/seokhyeon/MotionJEPA/output/mot_base-small_1d-bs.512-ep.300/motion-jepa-1d-latest.pth.tar,8b42dde186c095b881cfc807e803435d2e72082e71838930e0ebe872a9713244,0.03,0,34,0.9075233692876695,0.8122370936902485,0.8085407018661499,0.9074569789674952,0.8813617096297506,0.8171384850803366,0.8058836460113525,0.9120122417750574
mot_base-small_1d-bs.512-ep.300,mot_base_1d,/data/seokhyeon/MotionJEPA/output/mot_base-small_1d-bs.512-ep.300/motion-jepa-1d-latest.pth.tar,8b42dde186c095b881cfc807e803435d2e72082e71838930e0ebe872a9713244,0.03,1,38,0.9002715714347066,0.8137667304015297,0.8097435832023621,0.9070745697896749,0.8796499481434665,0.8156082631981637,0.804555356502533,0.9116296863045141
mot_base-small_1d-bs.512-ep.300,mot_base_1d,/data/seokhyeon/MotionJEPA/output/mot_base-small_1d-bs.512-ep.300/motion-jepa-1d-latest.pth.tar,8b42dde186c095b881cfc807e803435d2e72082e71838930e0ebe872a9713244,0.03,2,40,0.9003447042140632,0.8095602294455067,0.8067746758460999,0.908604206500956,0.8764170929048476,0.8182861514919664,0.8078640103340149,0.9108645753634277
mot_base-small_1d-bs.512-ep.300,mot_base_1d,/data/seokhyeon/MotionJEPA/output/mot_base-small_1d-bs.512-ep.300/motion-jepa-1d-latest.pth.tar,8b42dde186c095b881cfc807e803435d2e72082e71838930e0ebe872a9713244,0.1,0,37,0.7762228088670662,0.8355640535372849,0.8301598429679871,0.9208413001912046,0.7561451110022617,0.8358837031369548,0.8255817294120789,0.9223412394797246
mot_base-small_1d-bs.512-ep.300,mot_base_1d,/data/seokhyeon/MotionJEPA/output/mot_base-small_1d-bs.512-ep.300/motion-jepa-1d-latest.pth.tar,8b42dde186c095b881cfc807e803435d2e72082e71838930e0ebe872a9713244,0.1,1,39,0.7769376415595498,0.8359464627151052,0.8308684825897217,0.9219885277246654,0.757025968964627,0.8347360367253251,0.8241732716560364,0.9227237949502678
mot_base-small_1d-bs.512-ep.300,mot_base_1d,/data/seokhyeon/MotionJEPA/output/mot_base-small_1d-bs.512-ep.300/motion-jepa-1d-latest.pth.tar,8b42dde186c095b881cfc807e803435d2e72082e71838930e0ebe872a9713244,0.1,2,37,0.7765942341966793,0.8390057361376673,0.833637535572052,0.9227533460803059,0.7569838569833746,0.836266258607498,0.8273786902427673,0.9215761285386381
mot_base-small_1d-bs.512-ep.300,mot_base_1d,/data/seokhyeon/MotionJEPA/output/mot_base-small_1d-bs.512-ep.300/motion-jepa-1d-latest.pth.tar,8b42dde186c095b881cfc807e803435d2e72082e71838930e0ebe872a9713244,0.3,0,41,0.7775434636249141,0.8416826003824092,0.8365522027015686,0.931548757170172,0.763867783199856,0.8397092578423871,0.829896092414856,0.9292272379495027
mot_base-small_1d-bs.512-ep.300,mot_base_1d,/data/seokhyeon/MotionJEPA/output/mot_base-small_1d-bs.512-ep.300/motion-jepa-1d-latest.pth.tar,8b42dde186c095b881cfc807e803435d2e72082e71838930e0ebe872a9713244,0.3,1,46,0.7745811936504299,0.8432122370936902,0.8373323082923889,0.9323135755258126,0.7619279965062861,0.8416220351951033,0.8321772813796997,0.928079571537873
mot_base-small_1d-bs.512-ep.300,mot_base_1d,/data/seokhyeon/MotionJEPA/output/mot_base-small_1d-bs.512-ep.300/motion-jepa-1d-latest.pth.tar,8b42dde186c095b881cfc807e803435d2e72082e71838930e0ebe872a9713244,0.3,2,40,0.7788610950710668,0.8405353728489484,0.8355765342712402,0.9334608030592734,0.768011926418967,0.8358837031369548,0.8260759711265564,0.9292272379495027
mot_base-small_1d-bs.512-ep.300,mot_base_1d,/data/seokhyeon/MotionJEPA/output/mot_base-small_1d-bs.512-ep.300/motion-jepa-1d-latest.pth.tar,8b42dde186c095b881cfc807e803435d2e72082e71838930e0ebe872a9713244,1.0,0,45,1.349821616586718,0.8325047801147227,0.8261271715164185,0.9281070745697897,1.358631598101195,0.819433817903596,0.8083454370498657,0.9265493496557001
mot_base-small_1d-bs.512-ep.300,mot_base_1d,/data/seokhyeon/MotionJEPA/output/mot_base-small_1d-bs.512-ep.300/motion-jepa-1d-latest.pth.tar,8b42dde186c095b881cfc807e803435d2e72082e71838930e0ebe872a9713244,1.0,1,44,1.3495382976349635,0.8298279158699808,0.8230109214782715,0.9304015296367113,1.340528599068511,0.822876817138485,0.812160849571228,0.928079571537873
mot_base-small_1d-bs.512-ep.300,mot_base_1d,/data/seokhyeon/MotionJEPA/output/mot_base-small_1d-bs.512-ep.300/motion-jepa-1d-latest.pth.tar,8b42dde186c095b881cfc807e803435d2e72082e71838930e0ebe872a9713244,1.0,2,38,1.3558797103269151,0.8282982791586998,0.8222157955169678,0.9277246653919694,1.3566469339897547,0.8240244835501148,0.8121781349182129,0.9246365723029839
mot_base_1d-bs.512-ep.300,mot_base_1d,/data/seokhyeon/MotionJEPA/output/mot_base_1d-bs.512-ep.300/motion-jepa-1d-latest.pth.tar,714f25a0c402deea68d42ecefb913378039a522670d7d07ba60a8bbf37ee710d,0.001,0,43,3.0629787992109074,0.38393881453154877,0.36733192205429077,0.6588910133843212,3.0985538217067354,0.39441469013006886,0.36778268218040466,0.663733741392502
mot_base_1d-bs.512-ep.300,mot_base_1d,/data/seokhyeon/MotionJEPA/output/mot_base_1d-bs.512-ep.300/motion-jepa-1d-latest.pth.tar,714f25a0c402deea68d42ecefb913378039a522670d7d07ba60a8bbf37ee710d,0.001,1,43,3.06397627471282,0.38087954110898664,0.36826804280281067,0.675717017208413,3.096408858587474,0.3905891354246366,0.36730942130088806,0.662203519510329
mot_base_1d-bs.512-ep.300,mot_base_1d,/data/seokhyeon/MotionJEPA/output/mot_base_1d-bs.512-ep.300/motion-jepa-1d-latest.pth.tar,714f25a0c402deea68d42ecefb913378039a522670d7d07ba60a8bbf37ee710d,0.001,2,44,3.0571016446582218,0.38049713193116635,0.3658936321735382,0.6703632887189293,3.0974811124911086,0.38905891354246364,0.36229974031448364,0.6560826319816373
mot_base_1d-bs.512-ep.300,mot_base_1d,/data/seokhyeon/MotionJEPA/output/mot_base_1d-bs.512-ep.300/motion-jepa-1d-latest.pth.tar,714f25a0c402deea68d42ecefb913378039a522670d7d07ba60a8bbf37ee710d,0.003,0,45,2.256196378339545,0.5445506692160612,0.5345543026924133,0.7869980879541109,2.2848095766168197,0.553557765876052,0.5327651500701904,0.7727620504973222
mot_base_1d-bs.512-ep.300,mot_base_1d,/data/seokhyeon/MotionJEPA/output/mot_base_1d-bs.512-ep.300/motion-jepa-1d-latest.pth.tar,714f25a0c402deea68d42ecefb913378039a522670d7d07ba60a8bbf37ee710d,0.003,1,47,2.2532490484117322,0.5529636711281071,0.5453510880470276,0.7850860420650095,2.279860997801987,0.5577658760520275,0.5367267727851868,0.7708492731446059
mot_base_1d-bs.512-ep.300,mot_base_1d,/data/seokhyeon/MotionJEPA/output/mot_base_1d-bs.512-ep.300/motion-jepa-1d-latest.pth.tar,714f25a0c402deea68d42ecefb913378039a522670d7d07ba60a8bbf37ee710d,0.003,2,48,2.2527288345716197,0.5495219885277247,0.5413711071014404,0.7889101338432123,2.283911931943419,0.5543228768171384,0.5337367057800293,0.7689364957918898
mot_base_1d-bs.512-ep.300,mot_base_1d,/data/seokhyeon/MotionJEPA/output/mot_base_1d-bs.512-ep.300/motion-jepa-1d-latest.pth.tar,714f25a0c402deea68d42ecefb913378039a522670d7d07ba60a8bbf37ee710d,0.01,0,42,1.6257806023037913,0.6653919694072657,0.6586961150169373,0.8458891013384321,1.6448833112417511,0.6579954093343535,0.6404122710227966,0.836266258607498
mot_base_1d-bs.512-ep.300,mot_base_1d,/data/seokhyeon/MotionJEPA/output/mot_base_1d-bs.512-ep.300/motion-jepa-1d-latest.pth.tar,714f25a0c402deea68d42ecefb913378039a522670d7d07ba60a8bbf37ee710d,0.01,1,42,1.625656833976906,0.6695984703632887,0.6644928455352783,0.8401529636711281,1.6427339701225672,0.6564651874521805,0.6377426981925964,0.836266258607498
mot_base_1d-bs.512-ep.300,mot_base_1d,/data/seokhyeon/MotionJEPA/output/mot_base_1d-bs.512-ep.300/motion-jepa-1d-latest.pth.tar,714f25a0c402deea68d42ecefb913378039a522670d7d07ba60a8bbf37ee710d,0.01,2,46,1.6230628894346395,0.6653919694072657,0.6587724089622498,0.8447418738049713,1.6423511694840283,0.6591430757459832,0.6403948068618774,0.8351185921958684
mot_base_1d-bs.512-ep.300,mot_base_1d,/data/seokhyeon/MotionJEPA/output/mot_base_1d-bs.512-ep.300/motion-jepa-1d-latest.pth.tar,714f25a0c402deea68d42ecefb913378039a522670d7d07ba60a8bbf37ee710d,0.03,0,37,1.2879231221361325,0.724282982791587,0.7183794975280762,0.8745697896749522,1.303943453075873,0.7142310635042081,0.6976540088653564,0.8706962509563887
mot_base_1d-bs.512-ep.300,mot_base_1d,/data/seokhyeon/MotionJEPA/output/mot_base_1d-bs.512-ep.300/motion-jepa-1d-latest.pth.tar,714f25a0c402deea68d42ecefb913378039a522670d7d07ba60a8bbf37ee710d,0.03,1,40,1.285897377845662,0.7223709369024857,0.7167401909828186,0.8734225621414914,1.2984755763409241,0.7188217291507268,0.7017941474914551,0.8733741392501913
mot_base_1d-bs.512-ep.300,mot_base_1d,/data/seokhyeon/MotionJEPA/output/mot_base_1d-bs.512-ep.300/motion-jepa-1d-latest.pth.tar,714f25a0c402deea68d42ecefb913378039a522670d7d07ba60a8bbf37ee710d,0.03,2,41,1.2839907410951692,0.7235181644359464,0.7173745632171631,0.877246653919694,1.29885423247287,0.7176740627390972,0.7020871043205261,0.8737566947207345
mot_base_1d-bs.512-ep.300,mot_base_1d,/data/seokhyeon/MotionJEPA/output/mot_base_1d-bs.512-ep.300/motion-jepa-1d-latest.pth.tar,714f25a0c402deea68d42ecefb913378039a522670d7d07ba60a8bbf37ee710d,0.1,0,37,1.0924620823468123,0.7510516252390057,0.7441838979721069,0.8936902485659656,1.1063371350405868,0.7471308339709258,0.7313085198402405,0.8890589135424637
mot_base_1d-bs.512-ep.300,mot_base_1d,/data/seokhyeon/MotionJEPA/output/mot_base_1d-bs.512-ep.300/motion-jepa-1d-latest.pth.tar,714f25a0c402deea68d42ecefb913378039a522670d7d07ba60a8bbf37ee710d,0.1,1,30,1.1032450178157303,0.7518164435946463,0.7440825700759888,0.892925430210325,1.1172043669743672,0.7448355011476664,0.7277027368545532,0.8882938026013772
mot_base_1d-bs.512-ep.300,mot_base_1d,/data/seokhyeon/MotionJEPA/output/mot_base_1d-bs.512-ep.300/motion-jepa-1d-latest.pth.tar,714f25a0c402deea68d42ecefb913378039a522670d7d07ba60a8bbf37ee710d,0.1,2,34,1.0963935283128436,0.7541108986615679,0.746018648147583,0.8933078393881453,1.1073742292268456,0.7471308339709258,0.7314419746398926,0.8882938026013772
mot_base_1d-bs.512-ep.300,mot_base_1d,/data/seokhyeon/MotionJEPA/output/mot_base_1d-bs.512-ep.300/motion-jepa-1d-latest.pth.tar,714f25a0c402deea68d42ecefb913378039a522670d7d07ba60a8bbf37ee710d,0.3,0,36,1.068205264877407,0.7606118546845124,0.753009021282196,0.8986615678776291,1.0691802003680975,0.75592960979342,0.7416753172874451,0.8940321346595256
