kind,name,model_name,selected_lr,seed,best_epoch,val_loss,val_top1_accuracy,val_macro_accuracy,val_top5_accuracy,test_loss,test_top1_accuracy,test_macro_accuracy,test_top5_accuracy
raw_classifier,transformer,MotionTransformerClassifier,,42,71,0.3000799547417898,0.9483747609942639,0.9471560716629028,0.9766730401529636,0.2791712592372296,0.9483550114766641,0.9428582191467285,0.9804896710022953
raw_classifier,cnn,MotionCNNClassifier,,42,76,0.26529729307039746,0.9426386233269598,0.9425250887870789,0.9774378585086042,0.25947966973290887,0.9445294567712318,0.9387474656105042,0.976664116296863
linear_probe,mot_giant_1d-bs.512-ep.300,mot_giant_1d,0.3,42,48.0,0.4503629622450294,0.9051625239005736,0.9037481546401978,0.9499043977055449,0.436681057171869,0.9074215761285387,0.8998970985412598,0.9537107880642693
linear_probe,mot_huge-giant_1d-bs.512-ep.300,mot_huge_1d,0.3,42,43.0,0.5524076881189875,0.8745697896749522,0.8715294599533081,0.9479923518164436,0.5700408721024879,0.8664881407804131,0.8581937551498413,0.9441469013006886
linear_probe,mot_huge_1d-bs.512-ep.300,mot_huge_1d,0.3,42,45.0,0.5411319145508979,0.8803059273422562,0.8793887495994568,0.9476099426386233,0.5356052868586966,0.8703136954858455,0.8594539761543274,0.9502677888293802
linear_probe,mot_huge-large_1d-bs.512-ep.300,mot_huge_1d,0.3,42,43.0,0.7918118471397269,0.8240917782026769,0.8221490979194641,0.9239005736137668,0.7670418076051859,0.8247895944912013,0.8131330013275146,0.9254016832440703
linear_probe,mot_large-huge_1d-bs.512-ep.300,mot_large_1d,0.1,42,39.0,1.2385490052786658,0.7269598470363289,0.7218244671821594,0.8780114722753346,1.2724764137297253,0.7165263963274675,0.7035161852836609,0.872991583779648
linear_probe,mot_large_1d-bs.512-ep.300,mot_large_1d,0.1,42,45.0,0.7718377589267709,0.8279158699808795,0.8241565227508545,0.930019120458891,0.8089543935809321,0.814460596786534,0.8048403859138489,0.9223412394797246
linear_probe,mot_large-base_1d-bs.512-ep.300,mot_large_1d,0.3,42,48.0,1.502179704888601,0.681453154875717,0.6785526871681213,0.8592734225621415,1.5644117062020686,0.6813312930374904,0.6672235131263733,0.8519510328997705
linear_probe,mot_base-large_1d-bs.512-ep.300,mot_base_1d,0.1,42,43.0,1.0099903259860854,0.768642447418738,0.7623345851898193,0.8940726577437859,1.0400624176702522,0.750956388676358,0.7380913496017456,0.8928844682478959
linear_probe,mot_base_1d-bs.512-ep.300,mot_base_1d,0.3,42,36.0,1.0639392480795515,0.7590822179732314,0.7506322264671326,0.9009560229445507,1.0722891290222494,0.7555470543228768,0.7399076223373413,0.8932670237184391
linear_probe,mot_base-small_1d-bs.512-ep.300,mot_base_1d,0.3,42,46.0,0.7737484554487706,0.8424474187380497,0.8371064066886902,0.9326959847036329,0.7651603789209134,0.8416220351951033,0.8320133686065674,0.9265493496557001
linear_probe,mot_small-base_1d-bs.512-ep.300,mot_small_1d,0.3,42,49.0,1.016720620441619,0.7759082217973231,0.7767040133476257,0.9066921606118546,1.0186783192991389,0.7639632746748278,0.7512710690498352,0.9001530221882172
linear_probe,mot_small_1d-bs.512-ep.300,mot_small_1d,0.7,42,42.0,1.041596108139359,0.7652007648183556,0.7630821466445923,0.897131931166348,1.0313995174533461,0.7605202754399388,0.745628297328949,0.8993879112471308
linear_probe,mot_small-tiny_1d-bs.512-ep.300,mot_small_1d,0.7,42,48.0,1.1134851131110985,0.7388145315487572,0.7362885475158691,0.8841300191204589,1.1042226617721171,0.7383320581484315,0.723583459854126,0.8852333588370314
linear_probe,mot_tiny-small_1d-bs.512-ep.300,mot_tiny_1d,0.7,42,48.0,1.1767552260914906,0.7361376673040153,0.7326072454452515,0.8887189292543021,1.1744943413008417,0.7360367253251722,0.7206286787986755,0.8856159143075746
linear_probe,mot_tiny_1d-bs.512-ep.300,mot_tiny_1d,0.3,42,36.0,0.7924542851931279,0.8252390057361376,0.8223007917404175,0.924282982791587,0.7761001754737393,0.8213465952563122,0.8133018612861633,0.9299923488905891
