epoch,learning_rate,train_loss,train_top1_accuracy,train_macro_accuracy,train_top5_accuracy,val_loss,val_top1_accuracy,val_macro_accuracy,val_top5_accuracy
1,5.9999999999999995e-05,3.5279380172223203,0.4052400076496462,0.3821970224380493,0.6319085867278639,2.7082367351816443,0.6535372848948374,0.6294447183609009,0.84282982791587
2,0.00011999999999999999,2.166564649458619,0.7524861350162555,0.7343720197677612,0.8966341556703002,1.5174623565965584,0.8305927342256214,0.8205792307853699,0.9258126195028681
3,0.00017999999999999998,1.2037476078003537,0.8707687894434882,0.8621938228607178,0.9394721744119334,0.7842892940368069,0.8959847036328872,0.8915073871612549,0.9479923518164436
4,0.00023999999999999998,0.6957003985702432,0.9070089883342896,0.902286171913147,0.9521897112258558,0.5301274199330784,0.9097514340344168,0.9088270664215088,0.9525812619502868
5,0.0003,0.4879109596722804,0.9180053547523427,0.914277970790863,0.9594568751195257,0.4451268504272228,0.9120458891013384,0.9102718830108643,0.9548757170172084
6,0.0003,0.371312009812906,0.9299579269458788,0.9269575476646423,0.9696882769171926,0.37869235853847993,0.9131931166347992,0.9106436967849731,0.9625239005736138
7,0.00029991651377767303,0.30198482676648025,0.9355517307324537,0.9333679676055908,0.9754255115700898,0.37062103679941444,0.920076481835564,0.9194410443305969,0.9598470363288719
8,0.0002996661483541614,0.2457156528202793,0.9473608720596672,0.944924533367157,0.9816408491107286,0.32813963443325767,0.9273422562141491,0.9235987663269043,0.9648183556405354
9,0.00029924918335573134,0.20697519970535205,0.9523809523809523,0.9503588676452637,0.9856569133677567,0.3247954797106537,0.9246653919694072,0.9243937730789185,0.961376673040153
10,0.0002986660844791396,0.1767479784118443,0.9588353413654619,0.9571024179458618,0.9895773570472366,0.2910969429672562,0.9281070745697897,0.9272445440292358,0.97131931166348
11,0.00029791750297150925,0.15098800660490558,0.9629470262000382,0.9615130424499512,0.9925415949512335,0.29242049558212835,0.9273422562141491,0.9253727197647095,0.9732313575525813
12,0.0002970042749029697,0.13125025690154743,0.9671543316121629,0.9655060768127441,0.9943105756358769,0.30133360649386054,0.9296367112810707,0.9284059405326843,0.9709369024856597
13,0.00029592742023287305,0.11346254443194446,0.9720309810671256,0.9711758494377136,0.9955058328552304,0.26721199575391374,0.9349904397705545,0.9340367913246155,0.9751434034416826
14,0.00029468814167062926,0.09522901548382245,0.9753298909925416,0.9741877913475037,0.9976572958500669,0.2902957398394554,0.9330783938814532,0.933311939239502,0.9678776290630975
15,0.0002932878233324334,0.09758432703204901,0.9747083572384777,0.9736373424530029,0.9965576592082617,0.3154873747670628,0.9288718929254303,0.9282730221748352,0.9690248565965583
16,0.0002917280291953838,0.08172019285025732,0.9786288009179576,0.9777753949165344,0.9980875884490342,0.2938687545163682,0.9323135755258126,0.9308401346206665,0.9747609942638623
17,0.00029001050135071956,0.07732138378650012,0.9792503346720214,0.9781060218811035,0.9981353987378083,0.2899104736503178,0.931548757170172,0.9329479932785034,0.9736137667304016
18,0.0002881371580581261,0.07142142724508672,0.9803499713138267,0.979544997215271,0.9985656913367756,0.3277839164660948,0.9296367112810707,0.929574728012085,0.9678776290630975
19,0.00028611009160328394,0.06274951080515408,0.9832185886402753,0.9825377464294434,0.9982310193153566,0.2984318049414436,0.9342256214149139,0.9345847964286804,0.9717017208413002
20,0.00028393156596105224,0.06268760200278564,0.9828361063300822,0.9818861484527588,0.9987569324918723,0.2787935596123252,0.9349904397705545,0.9337488412857056,0.9762906309751435
21,0.00028160401426689737,0.054616687884548924,0.9848441384585963,0.984097421169281,0.998661311914324,0.31766319056086056,0.9296367112810707,0.928239643573761,0.9724665391969407
22,0.00027913003609939083,0.05133126189279998,0.9862306368330465,0.9854440093040466,0.9994262765347103,0.2967331786000706,0.9369024856596558,0.9357634782791138,0.9736137667304016
23,0.00027651239457681114,0.04695898046737352,0.9870434117422069,0.9868907332420349,0.9992350353796137,0.3269311408923643,0.9261950286806884,0.9247060418128967,0.9717017208413002
24,0.0002737540132710932,0.04462443947361746,0.9877127557850449,0.987212061882019,0.9995697074010327,0.3085130060608027,0.9304015296367113,0.9294637441635132,0.9751434034416826
25,0.00027085797294257064,0.042036146032386174,0.9886211512717537,0.9880452156066895,0.9991872250908396,0.34183343081355777,0.9330783938814532,0.9327833652496338,0.9667304015296367
26,0.0002678275080991598,0.03960514317027445,0.9879518072289156,0.9876698851585388,0.9994262765347103,0.2927268941817274,0.9426386233269598,0.9420530796051025,0.9724665391969407
27,0.00026466600338382614,0.035008886646636816,0.9906769936890418,0.9902577996253967,0.9998087588449034,0.33244665266222984,0.9361376673040153,0.9367698431015015,0.9694072657743786
28,0.00026137698979436963,0.032524269935528025,0.9912507171543317,0.9909088611602783,0.9995697074010327,0.3318483462069276,0.9307839388145316,0.9305199384689331,0.9701720841300191
29,0.00025796414073975043,0.03270590837298969,0.9912507171543317,0.9907444715499878,0.9995218971122586,0.28606190435289197,0.9403441682600382,0.9382310509681702,0.9747609942638623
30,0.000254431267937359,0.027162650056492533,0.9924459743736852,0.991946280002594,0.9996175176898069,0.28563172612089954,0.9418738049713193,0.9402626752853394,0.9755258126195029
31,0.0002507823171558139,0.0257916067306399,0.9923981640849111,0.9921390414237976,0.9997609485561293,0.3163716821324073,0.9365200764818356,0.9356448650360107,0.9705544933078394
32,0.0002470213638080409,0.0228590170342919,0.9938802830369096,0.9936157464981079,0.9999521897112259,0.2961666220232816,0.9426386233269598,0.9424116015434265,0.9759082217973232
33,0.0002431526083995566,0.022997040785300526,0.9938324727481354,0.993817925453186,0.9999043794224517,0.28703662715496114,0.9372848948374761,0.9351193308830261,0.9747609942638623
34,0.0002391803718370386,0.01727940371912988,0.9957448842991011,0.9954327940940857,0.9998565691336776,0.30848690802462925,0.9376673040152964,0.9372992515563965,0.9736137667304016
35,0.00023510909060242398,0.016964233285633658,0.9953145917001339,0.995256245136261,1.0,0.3122964333849701,0.939961759082218,0.9380632638931274,0.9736137667304016
36,0.00023094331179792418,0.018863979314177298,0.9947886785236183,0.9947054982185364,0.9997609485561293,0.30443628139751133,0.9395793499043977,0.9399620294570923,0.9770554493307839
37,0.00022668768806749165,0.015488597836368944,0.9960795563205201,0.9958427548408508,0.9998087588449034,0.3060459793411751,0.9376673040152964,0.9398408532142639,0.9732313575525813
38,0.00022234697240040922,0.017368030923331963,0.995697074010327,0.9955158829689026,0.9997609485561293,0.33132307661650967,0.939961759082218,0.9385303258895874,0.9732313575525813
39,0.00021792601282280717,0.016484499441630402,0.9955058328552304,0.995513916015625,0.9999043794224517,0.30802001150798614,0.9395793499043977,0.9378891587257385,0.9736137667304016
40,0.0002134297469830361,0.014444079316353156,0.9967010900745841,0.996619701385498,0.9999521897112259,0.30840180143571494,0.9365200764818356,0.9365638494491577,0.9751434034416826
41,0.00020886319663694246,0.010444945641158358,0.9970357620960031,0.9969852566719055,0.9999521897112259,0.31563558396144303,0.9365200764818356,0.9368640184402466,0.9770554493307839
42,0.00020423146203920814,0.017108182258423803,0.9959839357429718,0.9958367347717285,0.9999043794224517,0.3363187056882432,0.9395793499043977,0.9381043910980225,0.972848948374761
43,0.00019953971624701554,0.011935170629640786,0.9968923312296806,0.9968221187591553,0.9999043794224517,0.30261657342856063,0.9430210325047801,0.943220317363739,0.9751434034416826
44,0.00019479319934240228,0.006574481087979902,0.9985178810480015,0.9985027313232422,0.9999521897112259,0.29256113938574124,0.9460803059273423,0.9439808130264282,0.9766730401529636
45,0.00018999721257975725,0.004287104632929509,0.9987091222030982,0.9986194372177124,0.9999521897112259,0.3040896315419651,0.944168260038241,0.9428828358650208,0.9762906309751435
46,0.00018515711246499546,0.007171650416258531,0.9981353987378083,0.9979643821716309,0.9999521897112259,0.31420128787680746,0.939961759082218,0.9392410516738892,0.9736137667304016
47,0.00018027830477302344,0.006432224804789133,0.998661311914324,0.9985490441322327,0.9999521897112259,0.31059265574351325,0.9453154875717017,0.9451146125793457,0.9736137667304016
48,0.00017536623851017793,0.004144715201155956,0.9992828456683879,0.999349057674408,1.0,0.27592967892240156,0.9483747609942639,0.9458736181259155,0.978585086042065
49,0.00017042639982837996,0.005461221051015096,0.9988047427806463,0.9988424181938171,1.0,0.30039341600173747,0.945697896749522,0.9446585178375244,0.9766730401529636
50,0.0001654643058978027,0.008088613962765294,0.9977051061388411,0.997887134552002,0.9999521897112259,0.2998551800875545,0.945697896749522,0.9455233812332153,0.9755258126195029
51,0.00016048549874489568,0.005215711286665505,0.9987569324918723,0.9985188841819763,1.0,0.31336705041889024,0.9437858508604207,0.9409220814704895,0.9762906309751435
52,0.00015549553906264735,0.003970703725815446,0.9991394148020654,0.9990637898445129,0.9999043794224517,0.31176289946809554,0.944168260038241,0.9430907964706421,0.972848948374761
53,0.0001505,0.0010229802354569583,0.9998565691336776,0.9998582601547241,1.0,0.28672253223951644,0.9487571701720842,0.947233259677887,0.9762906309751435
54,0.0001455044609373527,0.000541309162153595,0.9999043794224517,0.9999172687530518,1.0,0.2853732807458473,0.9499043977055449,0.9485591053962708,0.9789674952198852
55,0.00014051450125510432,0.0005994769065652621,0.9999521897112259,0.9999158978462219,1.0,0.2869486444083044,0.9487571701720842,0.947222113609314,0.978585086042065
56,0.0001355356941021973,0.0003645333214723748,1.0,1.0,1.0,0.28400613153869747,0.9487571701720842,0.9469525218009949,0.9782026768642448
57,0.0001305736001716201,0.0002697226786769593,1.0,1.0,1.0,0.2796510678176442,0.9514340344168261,0.9500190019607544,0.978585086042065
58,0.00012563376148982207,0.0002492610846097471,1.0,1.0,1.0,0.2810422430530789,0.9506692160611855,0.9494420886039734,0.978585086042065
59,0.00012072169522697653,0.0008389853591472605,0.9998565691336776,0.9998668432235718,1.0,0.2843719803352429,0.9518164435946462,0.95076584815979,0.9793499043977055
60,0.00011584288753500451,0.0002734794354814392,1.0,1.0,1.0,0.28072767312394503,0.9502868068833652,0.9496164917945862,0.9789674952198852
61,0.00011100278742024274,0.0002488850931758369,1.0,1.0,1.0,0.2826339316869557,0.9506692160611855,0.9499148726463318,0.9797323135755258
62,0.00010620680065759772,0.00022568493982380532,1.0,1.0,1.0,0.2774300792249165,0.9521988527724665,0.9512813091278076,0.9793499043977055
63,0.00010146028375298441,0.00019935028215797772,1.0,1.0,1.0,0.2753377458561447,0.9514340344168261,0.9504774212837219,0.9793499043977055
64,9.676853796079186e-05,0.00022091446512406893,1.0,1.0,1.0,0.2793159284281685,0.9518164435946462,0.9506328701972961,0.9789674952198852
65,9.213680336305754e-05,0.00020245308061471866,1.0,1.0,1.0,0.27948749024371117,0.9506692160611855,0.9497244954109192,0.9789674952198852
66,8.757025301696394e-05,0.000167890890217648,1.0,1.0,1.0,0.27664759546575307,0.9506692160611855,0.949852705001831,0.9789674952198852
67,8.307398717719274e-05,0.00016123467340547248,1.0,1.0,1.0,0.2755292954454003,0.9514340344168261,0.9504188299179077,0.9789674952198852
68,7.865302759959078e-05,0.0002556228972905317,0.9999521897112259,0.9999457001686096,1.0,0.2733506532745653,0.9518164435946462,0.9508925080299377,0.9797323135755258
69,7.431231193250832e-05,0.00047440160337770007,0.9998565691336776,0.9998307824134827,1.0,0.26907153156929675,0.9518164435946462,0.9520749449729919,0.9804971319311664
70,7.005668820207579e-05,0.000676738940221025,0.9998565691336776,0.9998408555984497,1.0,0.2744113446193717,0.9495219885277246,0.9492092132568359,0.9808795411089866
71,6.5890909397576e-05,0.0003856941502276859,0.9999521897112259,0.9999454021453857,1.0,0.27308384036470784,0.9533460803059274,0.9525105953216553,0.9812619502868068
72,6.18196281629614e-05,0.00039693103326838284,0.9999521897112259,0.9999438524246216,1.0,0.27683544523629355,0.9514340344168261,0.9502536058425903,0.9808795411089866
73,5.784739160044341e-05,0.00043667198293405123,0.9998565691336776,0.999738335609436,1.0,0.281494940580875,0.9483747609942639,0.9481286406517029,0.978585086042065
74,5.397863619195903e-05,0.0005261722327160407,0.9998087588449034,0.9997212290763855,1.0,0.28875354088515215,0.9468451242829828,0.9460827112197876,0.9804971319311664
75,5.021768284418612e-05,0.0004908347430250784,0.9999043794224517,0.9998816847801208,1.0,0.2793267109653918,0.9514340344168261,0.9514517784118652,0.9816443594646271
76,4.6568732062640974e-05,0.0003682546792305419,0.9999043794224517,0.9999125003814697,1.0,0.28257169814684197,0.9506692160611855,0.9501587152481079,0.9804971319311664
77,4.3035859260249586e-05,0.00022504373683783317,0.9999521897112259,0.999940812587738,1.0,0.28476993312799226,0.9510516252390058,0.9500892162322998,0.9793499043977055
78,3.962301020563034e-05,0.00022724498221774505,1.0,1.0,1.0,0.28507277997456365,0.9495219885277246,0.9488861560821533,0.9801147227533461
79,3.6333996616173864e-05,0.00019102811609844747,1.0,1.0,1.0,0.28204138702917736,0.9506692160611855,0.9500586986541748,0.9804971319311664
80,3.3172491900840177e-05,0.00016277588494346444,1.0,1.0,1.0,0.280928867041039,0.9506692160611855,0.9500586986541748,0.9808795411089866
81,3.0142027057429346e-05,0.00013746736408736708,1.0,1.0,1.0,0.2804252569807647,0.9502868068833652,0.9497016072273254,0.9808795411089866
82,2.7245986728906865e-05,0.00017007100781961314,1.0,1.0,1.0,0.2802769338195684,0.9510516252390058,0.9504862427711487,0.9804971319311664
83,2.4487605423188844e-05,0.0001432260458655984,1.0,1.0,1.0,0.2796100346581658,0.9510516252390058,0.9504862427711487,0.9808795411089866
84,2.1869963900609195e-05,0.00013447280341060165,1.0,1.0,1.0,0.2795367953882163,0.9514340344168261,0.9509209990501404,0.9808795411089866
85,1.939598573310261e-05,0.00018031893164065452,1.0,1.0,1.0,0.2797064334439046,0.9514340344168261,0.9513294100761414,0.9808795411089866
86,1.706843403894777e-05,0.00013558708771630988,1.0,1.0,1.0,0.2796090915599699,0.9510516252390058,0.9510068297386169,0.9808795411089866
