epoch,learning_rate,train_loss,train_top1_accuracy,train_macro_accuracy,train_top5_accuracy,val_loss,val_top1_accuracy,val_macro_accuracy,val_top5_accuracy
1,5.9999999999999995e-05,3.8058156163771355,0.20572767259514246,0.18165643513202667,0.41375023905144387,2.7910029278202675,0.47648183556405355,0.45334097743034363,0.720076481835564
2,0.00011999999999999999,1.7113709704988567,0.6702524383247275,0.6571446061134338,0.8370625358577166,1.0413355985973352,0.7988527724665392,0.7980298399925232,0.9021032504780114
3,0.00017999999999999998,0.787648654492459,0.8414610824249379,0.8354542255401611,0.9225951424746606,0.6642987282280712,0.8546845124282982,0.8519402146339417,0.9196940726577438
4,0.00023999999999999998,0.545846736779927,0.8801396060432205,0.8758503794670105,0.9375597628609676,0.5411884023400155,0.8734225621414914,0.8754898905754089,0.9376673040152964
5,0.0003,0.45606040309414303,0.8924746605469497,0.8890444040298462,0.9477433543698603,0.5224654159400021,0.8764818355640536,0.873779296875,0.9346080305927342
6,0.0003,0.37165342324047707,0.9089692101740294,0.9056540131568909,0.9567316886593995,0.43846196745367394,0.8940726577437859,0.8942711353302002,0.9434034416826004
7,0.00029991651377767303,0.31158694751713145,0.9202524383247275,0.9174067974090576,0.9666762287244215,0.4402962693748693,0.892925430210325,0.8967406749725342,0.9464627151051626
8,0.0002996661483541614,0.26968068982725457,0.9298623063683304,0.9275834560394287,0.9725090839548671,0.3828574937342686,0.9059273422562142,0.9057775735855103,0.9537284894837476
9,0.00029924918335573134,0.2319186276380955,0.9371294702620003,0.9349942207336426,0.978437559762861,0.3585197922832423,0.9040152963671129,0.9034274816513062,0.9594646271510516
10,0.0002986660844791396,0.20483109656757686,0.9444922547332186,0.942251980304718,0.983409829795372,0.3579225025942859,0.9078393881453155,0.9108267426490784,0.9567877629063097
11,0.00029791750297150925,0.1826389838892772,0.9490820424555364,0.9471218585968018,0.9852266207687894,0.3620131819015707,0.9124282982791587,0.9136388897895813,0.9579349904397706
12,0.0002970042749029697,0.16041588322892658,0.9546280359533371,0.9532197713851929,0.989720787913559,0.33289066336578893,0.9208413001912046,0.9215741157531738,0.9602294455066922
13,0.00029592742023287305,0.1513357006339686,0.9568273092369478,0.9553697109222412,0.9912029068655575,0.3427328755249257,0.9154875717017208,0.9152474403381348,0.9617590822179732
14,0.00029468814167062926,0.13237321085274664,0.9618473895582329,0.9605119228363037,0.9937368521705872,0.328133497365802,0.9189292543021033,0.9174293279647827,0.9625239005736138
15,0.0002932878233324334,0.11316357019396033,0.9694014151845477,0.9680718779563904,0.9949799196787149,0.3441414813010688,0.9131931166347992,0.9151551127433777,0.9663479923518165
16,0.0002917280291953838,0.10439690372317625,0.9694014151845477,0.968161940574646,0.9967967106521324,0.3177823469698087,0.9239005736137668,0.9240056872367859,0.9621414913957935
17,0.00029001050135071956,0.09045134634662938,0.9725568942436412,0.9711154699325562,0.9973704341174221,0.30126634747302783,0.9239005736137668,0.9244862198829651,0.9694072657743786
18,0.0002881371580581261,0.08530680397815744,0.9750908395486709,0.9743313789367676,0.9968445209409065,0.29888247094236414,0.9296367112810707,0.9287439584732056,0.9667304015296367
19,0.00028611009160328394,0.07741786715382029,0.9764773379231211,0.9755385518074036,0.9980875884490342,0.33315002594577653,0.918546845124283,0.9206592440605164,0.9667304015296367
20,0.00028393156596105224,0.07051160982917716,0.9792981449607956,0.9783796072006226,0.9978007267163894,0.29785429770358435,0.9265774378585087,0.9261564612388611,0.9694072657743786
21,0.00028160401426689737,0.06428966347287024,0.980780263912794,0.9799061417579651,0.9989481736469689,0.35863525215571973,0.9181644359464627,0.9166049361228943,0.9602294455066922
22,0.00027913003609939083,0.05771757192093274,0.9832663989290495,0.9828070998191833,0.998995983935743,0.2842950087888291,0.9311663479923518,0.9321630001068115,0.97131931166348
23,0.00027651239457681114,0.05373455270010601,0.9841747944157583,0.9836150407791138,0.999330655957162,0.31816283712879423,0.9239005736137668,0.9225770831108093,0.9690248565965583
24,0.0002737540132710932,0.04306607092642538,0.9879518072289156,0.9875754714012146,0.9994262765347103,0.31480178468314,0.92848948374761,0.9286385178565979,0.9694072657743786
25,0.00027085797294257064,0.04668884482010301,0.9869477911646586,0.9863866567611694,0.9990916045132913,0.35967057776952566,0.9208413001912046,0.9201837182044983,0.9636711281070746
26,0.0002678275080991598,0.04007195837355453,0.9882386689615605,0.9879460334777832,0.9995697074010327,0.3021250682852692,0.9292543021032504,0.9285203814506531,0.9720841300191204
27,0.00026466600338382614,0.03467148272963595,0.9904379422451711,0.9898594617843628,0.9998087588449034,0.3165402293889062,0.9311663479923518,0.9314855933189392,0.9678776290630975
28,0.00026137698979436963,0.034615106362016645,0.9892904953145917,0.988840639591217,0.9996175176898069,0.30307755771148276,0.9338432122370937,0.9331192970275879,0.9697896749521988
29,0.00025796414073975043,0.032277997957888424,0.9913463377318799,0.9910252094268799,0.9998087588449034,0.32543632149924284,0.9265774378585087,0.9270416498184204,0.9701720841300191
30,0.000254431267937359,0.023407693739662002,0.9939280933256837,0.9938005208969116,0.9999043794224517,0.30965935687034124,0.9304015296367113,0.9311660528182983,0.9694072657743786
31,0.0002507823171558139,0.01632371255520608,0.9959361254541977,0.9958091974258423,0.9999521897112259,0.30531058010590006,0.9353728489483748,0.934772253036499,0.9724665391969407
32,0.0002470213638080409,0.01703327137540166,0.9956492637215528,0.9955180287361145,0.9999521897112259,0.30332240876002703,0.9296367112810707,0.9293068051338196,0.97131931166348
33,0.0002431526083995566,0.02015574998921362,0.9942149550583286,0.9938081502914429,0.9999521897112259,0.30075299315881093,0.9319311663479923,0.930406928062439,0.9709369024856597
34,0.0002391803718370386,0.01839389532503844,0.9948842991011666,0.9946408867835999,0.9999043794224517,0.3201306169849053,0.9261950286806884,0.9286719560623169,0.967112810707457
35,0.00023510909060242398,0.02101173075879565,0.9943105756358769,0.9939943552017212,0.9999521897112259,0.34244998873533755,0.9261950286806884,0.9249430298805237,0.9701720841300191
36,0.00023094331179792418,0.021080412929188365,0.9947886785236183,0.9945713877677917,0.9998087588449034,0.3289058227612001,0.9288718929254303,0.9300259351730347,0.967112810707457
37,0.00022668768806749165,0.01653061279744554,0.9952667814113597,0.9951663017272949,0.9999521897112259,0.3199255441844349,0.9319311663479923,0.9317683577537537,0.9682600382409178
38,0.00022234697240040922,0.019905314256067907,0.9941193344807803,0.9941127896308899,0.9999043794224517,0.3605843910523628,0.9288718929254303,0.930931806564331,0.9667304015296367
39,0.00021792601282280717,0.014769285734187898,0.9959361254541977,0.9959530830383301,0.9999043794224517,0.2898681996201466,0.9334608030592734,0.9326837658882141,0.9747609942638623
40,0.0002134297469830361,0.015789984157788043,0.9961273666092944,0.9959484338760376,0.9998565691336776,0.31981420589906534,0.9319311663479923,0.9320045709609985,0.9682600382409178
41,0.00020886319663694246,0.006221795200106119,0.9987569324918723,0.9987675547599792,0.9999521897112259,0.3132065005329781,0.9349904397705545,0.9350364804267883,0.9667304015296367
42,0.00020423146203920814,0.0027976566920746926,0.9995218971122586,0.9995180368423462,1.0,0.28977189656653324,0.9365200764818356,0.9365913271903992,0.9751434034416826
43,0.00019953971624701554,0.005803180644051776,0.9984700707592273,0.9983024597167969,1.0,0.30902781477393887,0.931548757170172,0.9313079714775085,0.9720841300191204
44,0.00019479319934240228,0.01360578309810229,0.9971791929623255,0.9969901442527771,0.9998565691336776,0.2958438435658442,0.9334608030592734,0.9339349269866943,0.972848948374761
45,0.00018999721257975725,0.0032458720048786217,0.9996175176898069,0.9996246099472046,1.0,0.28604459489052886,0.9403441682600382,0.9412167072296143,0.972848948374761
46,0.00018515711246499546,0.0017521177048690376,0.9997609485561293,0.9997689127922058,1.0,0.32438688551718603,0.9319311663479923,0.9335351586341858,0.9694072657743786
47,0.00018027830477302344,0.0086253738569855,0.9977051061388411,0.9975476264953613,1.0,0.2929053545454036,0.9391969407265774,0.9384916424751282,0.97131931166348
48,0.00017536623851017793,0.006596219120386879,0.9985178810480015,0.9983718395233154,1.0,0.3404274048814354,0.92848948374761,0.9285923838615417,0.9686424474187381
49,0.00017042639982837996,0.007843771949432702,0.9982310193153566,0.9982349276542664,0.9999521897112259,0.30647685960875415,0.9349904397705545,0.9342654347419739,0.972848948374761
50,0.0001654643058978027,0.007059796940512866,0.998995983935743,0.9989978671073914,0.9997609485561293,0.3066867828369141,0.9342256214149139,0.9345124959945679,0.9709369024856597
51,0.00016048549874489568,0.006776092304746791,0.9987569324918723,0.9988281726837158,0.9999043794224517,0.2999140671972563,0.9384321223709369,0.9389041066169739,0.9690248565965583
