run_name,model_name,lr,seed,epoch,learning_rate,train_loss,train_top1_accuracy,train_macro_accuracy,train_top5_accuracy,val_loss,val_top1_accuracy,val_macro_accuracy,val_top5_accuracy
mot_base-large_1d-bs.512-ep.300,mot_base_1d,0.1,42,1,0.1,1.832184009329496,0.5835245744884299,0.571384608745575,0.7992445974373685,1.9259990859897824,0.5682600382409178,0.5591586232185364,0.7804971319311663
mot_base-large_1d-bs.512-ep.300,mot_base_1d,0.1,42,2,0.09990133642141358,1.4576624952189712,0.6741250717154331,0.6645240187644958,0.8535570854847964,1.5783059756568922,0.6493307839388145,0.6332843899726868,0.8321223709369024
mot_base-large_1d-bs.512-ep.300,mot_base_1d,0.1,42,3,0.0996057350657239,1.2808576238431217,0.7094568751195257,0.7027937173843384,0.8781793842034806,1.425051305125366,0.6787762906309751,0.6677274107933044,0.8512428298279159
mot_base-large_1d-bs.512-ep.300,mot_base_1d,0.1,42,4,0.09911436253643444,1.1782152398773853,0.7281028877414419,0.7190387845039368,0.88659399502773,1.3665515410968496,0.6810707456978967,0.6737820506095886,0.8596558317399617
mot_base-large_1d-bs.512-ep.300,mot_base_1d,0.1,42,5,0.09842915805643154,1.0687902120085742,0.7576974564926372,0.752339780330658,0.8989290495314591,1.2729702134433258,0.7112810707456979,0.7028576135635376,0.8676864244741874
mot_base-large_1d-bs.512-ep.300,mot_base_1d,0.1,42,6,0.09755282581475767,1.0081676042519923,0.7712755785044941,0.7656927704811096,0.9060049722700325,1.2245811827096156,0.7170172084130019,0.7096309065818787,0.874187380497132
mot_base-large_1d-bs.512-ep.300,mot_base_1d,0.1,42,7,0.09648882429441256,0.968463939652887,0.7758175559380379,0.7699993848800659,0.9104035188372538,1.2159460822665213,0.7223709369024857,0.7125486135482788,0.874187380497132
mot_base-large_1d-bs.512-ep.300,mot_base_1d,0.1,42,8,0.09524135262330098,0.9092556292660995,0.7930292598967298,0.7888690233230591,0.9179097341747944,1.163340498156575,0.7326959847036328,0.7258453965187073,0.8841300191204589
mot_base-large_1d-bs.512-ep.300,mot_base_1d,0.1,42,9,0.09381533400219318,0.8929638557120385,0.7964716006884681,0.791130006313324,0.9191528016829221,1.1738623099390908,0.7239005736137667,0.7181259393692017,0.877246653919694
mot_base-large_1d-bs.512-ep.300,mot_base_1d,0.1,42,10,0.09221639627510075,0.8701855751952424,0.7971409447313061,0.789398193359375,0.9208261617900172,1.155615091415026,0.7250478011472276,0.7145470976829529,0.8868068833652007
mot_base-large_1d-bs.512-ep.300,mot_base_1d,0.1,42,11,0.09045084971874737,0.8279370515655208,0.8114362210747753,0.8052078485488892,0.928045515394913,1.1163651971470558,0.734225621414914,0.7254336476325989,0.8891013384321224
mot_base-large_1d-bs.512-ep.300,mot_base_1d,0.1,42,12,0.08852566213878946,0.8135535017120425,0.8144482692675463,0.8123550415039062,0.9290973417479441,1.1148675717997505,0.7453154875717017,0.7415792346000671,0.8906309751434034
mot_base-large_1d-bs.512-ep.300,mot_base_1d,0.1,42,13,0.08644843137107057,0.7936838680390624,0.8187033849684452,0.8139751553535461,0.9322528208070376,1.1121661096868278,0.734225621414914,0.7267258167266846,0.8891013384321224
mot_base-large_1d-bs.512-ep.300,mot_base_1d,0.1,42,14,0.08422735529643442,0.7783990930384718,0.8204723656530886,0.8165338635444641,0.9333046471600689,1.1068738248106627,0.7430210325047801,0.7365238666534424,0.8860420650095602
mot_base-large_1d-bs.512-ep.300,mot_base_1d,0.1,42,15,0.08187119948743447,0.7478359014132119,0.8294606999426276,0.8248000144958496,0.9365557467967106,1.0829105559544172,0.7521988527724666,0.747087299823761,0.8894837476099426
mot_base-large_1d-bs.512-ep.300,mot_base_1d,0.1,42,16,0.07938926261462366,0.7352023149316365,0.8328552304455918,0.8294528722763062,0.9387072097915471,1.0813238475792266,0.7521988527724666,0.7478368878364563,0.8879541108986616
mot_base-large_1d-bs.512-ep.300,mot_base_1d,0.1,42,17,0.07679133974894982,0.7190862297441837,0.8348154522853318,0.8297030925750732,0.9397112258558041,1.07172821803485,0.7502868068833652,0.7440994381904602,0.8936902485659656
mot_base-large_1d-bs.512-ep.300,mot_base_1d,0.1,42,18,0.07408768370508576,0.7151998940105078,0.8360585197934596,0.8305662274360657,0.9406196213425129,1.074368217570376,0.7564053537284895,0.7485731244087219,0.8898661567877629
mot_base-large_1d-bs.512-ep.300,mot_base_1d,0.1,42,19,0.07128896457825362,0.6926610647184395,0.8440428380187416,0.8394816517829895,0.942962325492446,1.0604507927684894,0.7521988527724666,0.7449981570243835,0.8879541108986616
mot_base-large_1d-bs.512-ep.300,mot_base_1d,0.1,42,20,0.06840622763423389,0.6857018156155593,0.8432300631095812,0.838988184928894,0.9448269267546376,1.0527777356353818,0.7506692160611854,0.7443215250968933,0.8940726577437859
mot_base-large_1d-bs.512-ep.300,mot_base_1d,0.1,42,21,0.06545084971874736,0.6796209045704885,0.8459074392809333,0.8418936133384705,0.9433926180914133,1.0469949463357433,0.7560229445506692,0.7502686381340027,0.8940726577437859
mot_base-large_1d-bs.512-ep.300,mot_base_1d,0.1,42,22,0.06243449435824272,0.6751879905281934,0.8460508701472557,0.8432870507240295,0.9447791164658634,1.0526575500604984,0.7541108986615679,0.749802827835083,0.8948374760994264
mot_base-large_1d-bs.512-ep.300,mot_base_1d,0.1,42,23,0.05936906572928623,0.6575577242193407,0.8532702237521514,0.8496962785720825,0.9463090457066361,1.0372638826388474,0.7598470363288718,0.7531631588935852,0.8902485659655832
mot_base-large_1d-bs.512-ep.300,mot_base_1d,0.1,42,24,0.056266661678215216,0.6492307334311903,0.8532702237521514,0.8484560251235962,0.9484605087014726,1.035359416545919,0.7552581261950286,0.7480210661888123,0.8894837476099426
mot_base-large_1d-bs.512-ep.300,mot_base_1d,0.1,42,25,0.053139525976465665,0.6443945785671285,0.8551348250143431,0.851851224899292,0.9485083189902467,1.0377566189884455,0.7590822179732314,0.7528913617134094,0.8921606118546845
mot_base-large_1d-bs.512-ep.300,mot_base_1d,0.1,42,26,0.049999999999999996,0.6464154182736106,0.8532702237521514,0.8496367931365967,0.9485561292790209,1.042242628575283,0.7609942638623327,0.7571098804473877,0.8944550669216061
mot_base-large_1d-bs.512-ep.300,mot_base_1d,0.1,42,27,0.046860474023534326,0.6316120868477865,0.8594855612927902,0.8550207018852234,0.95027729967489,1.0347044264609226,0.761376673040153,0.7540302872657776,0.8925430210325048
mot_base-large_1d-bs.512-ep.300,mot_base_1d,0.1,42,28,0.04373333832178478,0.6300174058748946,0.8573819085867279,0.8527147173881531,0.9488908013004399,1.0353699503619629,0.7571701720841301,0.7510679364204407,0.8921606118546845
mot_base-large_1d-bs.512-ep.300,mot_base_1d,0.1,42,29,0.040630934270713764,0.620991772140821,0.8613023522662077,0.8576409220695496,0.9508032128514057,1.022977306008567,0.7659655831739962,0.7587697505950928,0.8975143403441682
mot_base-large_1d-bs.512-ep.300,mot_base_1d,0.1,42,30,0.03756550564175726,0.6183412815968697,0.8612067316886594,0.8566213250160217,0.9514725568942436,1.0328465215562634,0.7602294455066921,0.7537556290626526,0.892925430210325
mot_base-large_1d-bs.512-ep.300,mot_base_1d,0.1,42,31,0.03454915028125265,0.6104336339352714,0.8651271753681392,0.8618324995040894,0.9518072289156626,1.0269789949201944,0.762906309751434,0.7575881481170654,0.8959847036328872
mot_base-large_1d-bs.512-ep.300,mot_base_1d,0.1,42,32,0.03159377236576612,0.6113955539142363,0.8639319181487857,0.8599817156791687,0.9516159877605661,1.0357712550555316,0.7590822179732314,0.751882791519165,0.8917782026768643
mot_base-large_1d-bs.512-ep.300,mot_base_1d,0.1,42,33,0.028711035421746366,0.6050142062784131,0.8666571046089119,0.863379716873169,0.9523809523809523,1.0221851341583077,0.7636711281070746,0.7570503354072571,0.8936902485659656
mot_base-large_1d-bs.512-ep.300,mot_base_1d,0.1,42,34,0.025912316294914226,0.6040114090715775,0.8674698795180723,0.8639377355575562,0.9524765729585006,1.0273497499425825,0.7644359464627151,0.7595781683921814,0.8959847036328872
mot_base-large_1d-bs.512-ep.300,mot_base_1d,0.1,42,35,0.023208660251050155,0.5965673248223899,0.8684260852935551,0.86449134349823,0.9539586919104991,1.0176447589356403,0.7663479923518165,0.7598760724067688,0.892925430210325
mot_base-large_1d-bs.512-ep.300,mot_base_1d,0.1,42,36,0.020610737385376346,0.5962934213150617,0.8687129470262,0.8653436303138733,0.9535283993115319,1.0195236847915796,0.7609942638623327,0.7548898458480835,0.8940726577437859
mot_base-large_1d-bs.512-ep.300,mot_base_1d,0.1,42,37,0.01812880051256551,0.592708584728376,0.8696213425129088,0.8663395047187805,0.9544846050870147,1.0172619062901456,0.7682600382409178,0.762223482131958,0.8944550669216061
mot_base-large_1d-bs.512-ep.300,mot_base_1d,0.1,42,38,0.015772644703565562,0.589479835431465,0.8721552878179384,0.8685150146484375,0.9543411742206923,1.0152222379899618,0.7663479923518165,0.7606639862060547,0.8936902485659656
mot_base-large_1d-bs.512-ep.300,mot_base_1d,0.1,42,39,0.013551568628929433,0.5882527141093205,0.8722509083954867,0.8688753247261047,0.9544367947982406,1.0104513295977795,0.7640535372848949,0.7581974267959595,0.8921606118546845
mot_base-large_1d-bs.512-ep.300,mot_base_1d,0.1,42,40,0.011474337861210542,0.5861026384926681,0.8740198890801301,0.8703057765960693,0.9541977433543699,1.0154704493272828,0.762906309751434,0.7565866708755493,0.8952198852772466
mot_base-large_1d-bs.512-ep.300,mot_base_1d,0.1,42,41,0.009549150281252632,0.5852895622888107,0.8722509083954867,0.8685340881347656,0.9546280359533371,1.0119660992011514,0.7652007648183556,0.7582380175590515,0.8952198852772466
mot_base-large_1d-bs.512-ep.300,mot_base_1d,0.1,42,42,0.007783603724899257,0.5840028601227127,0.8747370434117422,0.8715115189552307,0.9541977433543699,1.0102713502843794,0.7652007648183556,0.7587358951568604,0.892925430210325
mot_base-large_1d-bs.512-ep.300,mot_base_1d,0.1,42,43,0.0061846659978068205,0.5829597528953355,0.8751195257219354,0.8716987371444702,0.9542933639319181,1.0099903259860854,0.768642447418738,0.7623345851898193,0.8940726577437859
mot_base-large_1d-bs.512-ep.300,mot_base_1d,0.1,42,44,0.004758647376699033,0.5821566515156725,0.8751195257219354,0.8716820478439331,0.9546758462421113,1.0099085557985032,0.7659655831739962,0.7600945830345154,0.8933078393881453
mot_base-large_1d-bs.512-ep.300,mot_base_1d,0.1,42,45,0.0035111757055874327,0.5816763257588226,0.8746892331229681,0.871171236038208,0.954580225664563,1.0098385054112393,0.767112810707457,0.7605129480361938,0.8936902485659656
mot_base-large_1d-bs.512-ep.300,mot_base_1d,0.1,42,46,0.0024471741852423235,0.581436052539422,0.8748804742780646,0.871419370174408,0.9548670873972078,1.009991930638855,0.7659655831739962,0.7595610022544861,0.8936902485659656
