run_name,model_name,lr,num_seeds,best_epoch_mean,best_epoch_std,val_loss_mean,val_loss_std,val_top1_accuracy_mean,val_top1_accuracy_std,val_macro_accuracy_mean,val_macro_accuracy_std,val_top5_accuracy_mean,val_top5_accuracy_std,test_loss_mean,test_loss_std,test_top1_accuracy_mean,test_top1_accuracy_std,test_macro_accuracy_mean,test_macro_accuracy_std,test_top5_accuracy_mean,test_top5_accuracy_std
mot_giant_1d-bs.512-ep.300,mot_giant_1d,0.1,1,43.0,0.0,0.5372481905935371,0.0,0.8944550669216061,0.0,0.8943261504173279,0.0,0.9426386233269598,0.0,0.524391320249737,0.0,0.8955623565416986,0.0,0.8877270221710205,0.0,0.9437643458301453,0.0
mot_giant_1d-bs.512-ep.300,mot_giant_1d,0.3,1,48.0,0.0,0.4503629622450294,0.0,0.9051625239005736,0.0,0.9037481546401978,0.0,0.9499043977055449,0.0,0.436681057171869,0.0,0.9074215761285387,0.0,0.8998970985412598,0.0,0.9537107880642693,0.0
mot_giant_1d-bs.512-ep.300,mot_giant_1d,0.5,1,42.0,0.0,0.5102078731383693,0.0,0.904397705544933,0.0,0.9030888080596924,0.0,0.9521988527724665,0.0,0.4890456195997663,0.0,0.9051262433052792,0.0,0.898039698600769,0.0,0.9567712318286151,0.0
mot_giant_1d-bs.512-ep.300,mot_giant_1d,0.7,1,46.0,0.0,0.6296137713109557,0.0,0.9051625239005736,0.0,0.9029608964920044,0.0,0.9502868068833652,0.0,0.6026443490201312,0.0,0.9032134659525631,0.0,0.8953884243965149,0.0,0.9556235654169855,0.0
mot_giant_1d-bs.512-ep.300,mot_giant_1d,1.0,1,46.0,0.0,0.858079161197232,0.0,0.902868068833652,0.0,0.9013750553131104,0.0,0.9506692160611855,0.0,0.8369772866562112,0.0,0.9062739097169089,0.0,0.8987647891044617,0.0,0.9537107880642693,0.0
mot_huge-giant_1d-bs.512-ep.300,mot_huge_1d,0.1,1,39.0,0.0,0.6099407553444857,0.0,0.8684512428298279,0.0,0.8645345568656921,0.0,0.9426386233269598,0.0,0.6266908127566558,0.0,0.8615149196633511,0.0,0.8508837223052979,0.0,0.9345830145371079,0.0
mot_huge-giant_1d-bs.512-ep.300,mot_huge_1d,0.3,1,43.0,0.0,0.5524076881189875,0.0,0.8745697896749522,0.0,0.8715294599533081,0.0,0.9479923518164436,0.0,0.5700408721024879,0.0,0.8664881407804131,0.0,0.8581937551498413,0.0,0.9441469013006886,0.0
mot_huge-giant_1d-bs.512-ep.300,mot_huge_1d,0.5,1,43.0,0.0,0.5624619901522168,0.0,0.8734225621414914,0.0,0.8701910376548767,0.0,0.9476099426386233,0.0,0.5869345471616364,0.0,0.8661055853098699,0.0,0.8586239814758301,0.0,0.9429992348890589,0.0
mot_huge-giant_1d-bs.512-ep.300,mot_huge_1d,0.7,1,43.0,0.0,0.5876159033401518,0.0,0.8734225621414914,0.0,0.8707212805747986,0.0,0.9479923518164436,0.0,0.6191133500604841,0.0,0.8649579188982403,0.0,0.857099711894989,0.0,0.9418515684774292,0.0
mot_huge-giant_1d-bs.512-ep.300,mot_huge_1d,1.0,1,43.0,0.0,0.6581568329557634,0.0,0.869980879541109,0.0,0.8669174909591675,0.0,0.9495219885277246,0.0,0.7021460296000427,0.0,0.8584544758990054,0.0,0.8506082892417908,0.0,0.941469013006886,0.0
